나이,성별,측정항목,평균,표준편차,최소값,최대값,샘플수
52,F,sit_up,21.134615384615383,10.777661804251306,0.0,45.0,52
52,F,vo2max,106.8125,19.576239850049515,67.0,149.0,16
52,M,grip_right,23.29279279279279,4.685756205812592,14.1,34.8,111
52,M,shuttle_run,36.075,3.1105108547918263,30.0,41.9,28
52,M,sit_up,34.52873563218391,10.553120425180731,0.0,55.0,87
52,M,vo2max,105.57446808510639,18.681244582934983,70.0,141.0,47
53,F,grip_right,21.982716049382717,3.947967518972794,13.6,38.0,81
53,F,shuttle_run,29.22307692307692,3.543339725492944,23.1,37.0,13
53,F,sit_up,19.28787878787879,10.805646887715916,0.0,42.0,66
53,F,vo2max,109.39473684210526,21.80198289231932,50.0,151.0,38
53,M,grip_right,23.378,3.8737025850175586,15.2,30.7,100
53,M,shuttle_run,36.38928571428571,2.607445079243251,29.9,42.3,28
53,M,sit_up,35.7125,9.504421023257638,15.0,55.0,80
53,M,vo2max,111.57575757575758,17.592665913368386,82.0,148.0,33
54,F,grip_right,21.340000000000003,4.339517581948101,13.8,31.5,110
54,F,shuttle_run,28.724999999999998,2.1110639282340338,25.2,33.0,12
54,F,sit_up,16.586666666666666,10.835493894046913,0.0,40.0,75
54,F,vo2max,112.48717948717949,20.665088529706832,75.0,158.0,39
54,M,grip_right,22.973750000000003,5.039357597948373,13.8,34.4,80
54,M,shuttle_run,35.28333333333333,2.019973791326772,31.7,39.8,18
54,M,sit_up,34.59649122807018,8.666148528949554,7.0,51.0,57
54,M,vo2max,116.37037037037037,18.710647211903684,78.0,159.0,27
55,F,grip_right,23.056880733944947,4.256354007756827,14.1,37.6,109
55,F,shuttle_run,29.684615384615384,2.5971819047101508,24.3,34.5,26
55,F,sit_up,18.161290322580644,11.690102021517703,0.0,49.0,93
55,F,vo2max,114.22222222222223,20.550258667791297,74.0,168.0,45
55,M,grip_right,22.190526315789473,4.70095222776241,14.6,30.9,95
55,M,shuttle_run,36.504,2.78395402260885,32.3,40.8,25
55,M,sit_up,31.6875,10.283096007140237,1.0,52.0,64
55,M,vo2max,111.79310344827586,21.65538420404105,70.0,167.0,29
56,F,grip_right,21.75223880597015,4.235523179513607,9.8,32.3,134
56,F,shuttle_run,29.678947368421053,3.483864225471547,25.6,40.4,19
56,F,sit_up,18.69607843137255,10.335739413390336,0.0,40.0,102
56,F,vo2max,110.51851851851852,18.884695551310546,72.0,155.0,54
56,M,grip_right,23.1,4.7270277835725345,14.3,31.3,97
56,M,shuttle_run,34.644999999999996,3.0569119264898337,29.3,40.3,20
56,M,sit_up,31.029850746268657,8.240642350024794,7.0,53.0,67
56,M,vo2max,112.0,18.828951424991935,79.0,151.0,35
57,F,grip_right,21.545679012345676,4.6896974684598804,14.4,34.6,81
57,F,shuttle_run,27.944444444444443,3.142893217686179,23.8,32.7,9
57,F,sit_up,16.037735849056602,10.947360525137736,0.0,43.0,53
57,F,vo2max,113.61764705882354,14.297731767306294,86.0,145.0,34
57,M,grip_right,21.275510204081634,4.592958780085546,14.2,29.6,98
57,M,shuttle_run,35.98333333333333,3.0611445670869677,32.2,41.4,12
57,M,sit_up,31.785714285714285,8.735953474972444,12.0,52.0,56
